Sale_ID,Date,Customer_ID,Bike_Model,Price,Quantity,Store_Location,Salesperson_ID,Payment_Method,Customer_Age,Customer_Gender,Total_Sales
2445819,2023-01-07,2445819,KTM 390 Adventure,360160.27,1,Pune,1011,Cash,40,Female,360160.27
8031883,2023-01-09,8031883,KTM 390 Adventure,311549.64,1,Pune,1014,UPI,44,Female,311549.64
5020120,2023-01-17,5020120,KTM 390 Adventure,303767.02,1,Lucknow,1016,UPI,33,Male,303767.02
4991818,2023-01-20,4991818,KTM 390 Adventure,387361.95,1,Delhi,1019,UPI,32,Male,387361.95
2158175,2023-01-22,2158175,KTM 390 Adventure,360105.15,1,Delhi,1006,Finance,43,Female,360105.15
6997804,2023-01-25,6997804,KTM 390 Adventure,341272.09,1,Indore,1007,UPI,35,Male,341272.09
3304310,2023-01-31,3304310,KTM 390 Adventure,363381.78,1,Mumbai,1016,Cash,25,Female,363381.78
4471888,2023-01-31,4471888,KTM 390 Adventure,364989.28,1,Indore,1014,Credit Card,31,Male,364989.28
3687328,2023-02-02,3687328,KTM 390 Adventure,365800.03,1,Ahmedabad,1004,UPI,25,Female,365800.03
2967582,2023-02-04,2967582,KTM 390 Adventure,320173.66,2,Indore,1009,UPI,41,Male,640347.32
5216803,2023-02-04,5216803,KTM 390 Adventure,349712.53,1,Mumbai,1015,Cash,49,Male,349712.53
7356895,2023-02-04,7356895,KTM 390 Adventure,387256.32,1,Bangalore,1003,Credit Card,36,Female,387256.32
5777830,2023-02-09,5777830,KTM 390 Adventure,339537.73,1,Pune,1004,Cash,43,Male,339537.73
3075414,2023-02-10,3075414,KTM 390 Adventure,335568.19,1,Bangalore,1016,Cash,41,Male,335568.19
8122759,2023-02-11,8122759,KTM 390 Adventure,330097.5,1,Chennai,1003,UPI,30,Male,330097.5
8907386,2023-02-12,8907386,KTM 390 Adventure,344711.59,1,Nagpur,1018,Cash,25,Male,344711.59
3724274,2023-02-15,3724274,KTM 390 Adventure,348912.29,3,Bangalore,1016,Finance,32,Male,1046736.87
6948491,2023-02-16,6948491,KTM 390 Adventure,324911.67,1,Bangalore,1018,Cash,25,Female,324911.67
4822727,2023-02-16,4822727,KTM 390 Adventure,348306.82,2,Nagpur,1001,UPI,38,Male,696613.64
4498472,2023-02-17,4498472,KTM 390 Adventure,374825.26,1,Jaipur,1020,Debit Card,40,Male,374825.26
7606470,2023-02-18,7606470,KTM 390 Adventure,346605.02,1,Mumbai,1001,Credit Card,32,Male,346605.02
4207393,2023-02-19,4207393,KTM 390 Adventure,324347.59,1,Pune,1003,UPI,30,Male,324347.59
1808301,2023-02-20,1808301,KTM 390 Adventure,363746.57,2,Mumbai,1010,Credit Card,34,Female,727493.14
1645649,2023-02-22,1645649,KTM 390 Adventure,327770.7,1,Ahmedabad,1010,Debit Card,25,Female,327770.7
2726334,2023-02-23,2726334,KTM 390 Adventure,325846.91,1,Pimpri-Chinchwad,1011,UPI,36,Female,325846.91
4757654,2023-02-24,4757654,KTM 390 Adventure,376674.53,1,Delhi,1003,Cash,49,Male,376674.53
8103260,2023-02-24,8103260,KTM 390 Adventure,357895.78,1,Chennai,1011,Cash,42,Male,357895.78
4433382,2023-02-26,4433382,KTM 390 Adventure,327365.35,1,Delhi,1017,Cash,34,Male,327365.35
3701243,2023-02-27,3701243,KTM 390 Adventure,337585.15,1,Indore,1018,UPI,25,Male,337585.15
9111184,2023-03-01,9111184,KTM 390 Adventure,350285.05,1,Pimpri-Chinchwad,1012,Cash,55,Male,350285.05
4813270,2023-03-01,4813270,KTM 390 Adventure,338385.33,1,Delhi,1007,Credit Card,32,Male,338385.33
3526297,2023-03-02,3526297,KTM 390 Adventure,317777.79,1,Bangalore,1009,UPI,49,Male,317777.79
6478047,2023-03-02,6478047,KTM 390 Adventure,331194.81,1,Pune,1001,UPI,31,Female,331194.81
8199107,2023-03-02,8199107,KTM 390 Adventure,354161.91,2,Indore,1010,Credit Card,34,Female,708323.82
8695082,2023-03-03,8695082,KTM 390 Adventure,356989.45,1,Hyderabad,1017,UPI,41,Male,356989.45
6205597,2023-03-05,6205597,KTM 390 Adventure,327106.29,1,Delhi,1012,Cash,25,Female,327106.29
7979451,2023-03-05,7979451,KTM 390 Adventure,328334.09,1,Mumbai,1016,Credit Card,33,Male,328334.09
5821699,2023-03-06,5821699,KTM 390 Adventure,358454.27,1,Indore,1018,UPI,44,Male,358454.27
6998544,2023-03-06,6998544,KTM 390 Adventure,349578.74,1,Bangalore,1019,Credit Card,31,Male,349578.74
6533395,2023-03-08,6533395,KTM 390 Adventure,345342.49,2,Mumbai,1016,UPI,32,Male,690684.98
8155738,2023-03-09,8155738,KTM 390 Adventure,328107.15,1,Bangalore,1002,Finance,47,Male,328107.15
8940879,2023-03-10,8940879,KTM 390 Adventure,332084.97,1,Ahmedabad,1012,Credit Card,31,Male,332084.97
4462087,2023-03-13,4462087,KTM 390 Adventure,348301.62,1,Delhi,1007,Cash,32,Female,348301.62
7911542,2023-03-14,7911542,KTM 390 Adventure,387704.37,1,Bangalore,1010,Credit Card,49,Male,387704.37
6275820,2023-03-18,6275820,KTM 390 Adventure,357271.65,1,Pune,1012,Credit Card,25,Male,357271.65
9506377,2023-03-18,9506377,KTM 390 Adventure,341197.47,2,Pune,1016,Cash,43,Male,682394.94
3444026,2023-03-19,3444026,KTM 390 Adventure,356596.18,2,Pimpri-Chinchwad,1006,Credit Card,48,Male,713192.36
2394994,2023-03-20,2394994,KTM 390 Adventure,341386.16,2,Pune,1002,Finance,55,Male,682772.32
2235382,2023-03-20,2235382,KTM 390 Adventure,370496.81,2,Mumbai,1018,UPI,28,Male,740993.62
3659440,2023-03-20,3659440,KTM 390 Adventure,322968.77,1,Pune,1013,UPI,36,Male,322968.77
