match_id,team,opponent,venue,runs_scored,wickets_lost,overs_played,result,player_of_match,match_date
1,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,191,9,20,Win,Bumrah,2023-04-01
2,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,189,7,20,Win,MS Dhoni,2023-04-02
3,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,157,6,20,Win,MS Dhoni,2023-04-03
4,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,215,6,20,Win,Rohit Sharma,2023-04-04
5,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,217,7,20,Loss,Jadeja,2023-04-05
6,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,196,3,20,Loss,Jadeja,2023-04-06
7,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,216,6,20,Loss,MS Dhoni,2023-04-07
8,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,170,8,20,Win,Rohit Sharma,2023-04-08
9,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,192,9,20,Loss,Rohit Sharma,2023-04-09
10,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,171,9,20,Loss,Jadeja,2023-04-10
11,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,218,9,20,Loss,Bumrah,2023-04-11
12,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,144,3,20,Loss,Jadeja,2023-04-12
13,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,127,9,20,Loss,Bumrah,2023-04-13
14,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,133,7,20,Loss,MS Dhoni,2023-04-14
15,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,208,8,20,Loss,Rohit Sharma,2023-04-15
16,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,163,4,20,Win,Jadeja,2023-04-16
17,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,162,3,20,Win,MS Dhoni,2023-04-17
18,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,124,6,20,Win,Jadeja,2023-04-18
19,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,149,9,20,Win,Bumrah,2023-04-19
20,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,135,5,20,Loss,MS Dhoni,2023-04-20
21,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,159,9,20,Win,Rohit Sharma,2023-04-21
22,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,155,3,20,Loss,Rohit Sharma,2023-04-22
23,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,157,5,20,Loss,MS Dhoni,2023-04-23
24,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,147,3,20,Win,Jadeja,2023-04-24
25,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,132,7,20,Win,Jadeja,2023-04-25
26,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,152,3,20,Loss,Bumrah,2023-04-26
27,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,138,4,20,Loss,Jadeja,2023-04-27
28,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,135,9,20,Win,Jadeja,2023-04-28
29,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,172,4,20,Loss,Bumrah,2023-04-29
30,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,213,4,20,Win,MS Dhoni,2023-04-30
31,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,175,6,20,Win,MS Dhoni,2023-05-01
32,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,157,6,20,Win,MS Dhoni,2023-05-02
33,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,206,7,20,Loss,Rohit Sharma,2023-05-03
34,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,145,10,20,Loss,MS Dhoni,2023-05-04
35,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,176,7,20,Win,MS Dhoni,2023-05-05
36,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,204,4,20,Loss,MS Dhoni,2023-05-06
37,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,191,3,20,Loss,Rohit Sharma,2023-05-07
38,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,150,5,20,Loss,Rohit Sharma,2023-05-08
39,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,146,6,20,Win,Rohit Sharma,2023-05-09
40,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,156,7,20,Loss,Bumrah,2023-05-10
41,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,135,9,20,Loss,Rohit Sharma,2023-05-11
42,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,179,9,20,Win,Jadeja,2023-05-12
43,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,173,6,20,Win,Rohit Sharma,2023-05-13
44,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,159,4,20,Loss,Bumrah,2023-05-14
45,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,184,6,20,Win,Bumrah,2023-05-15
46,Mumbai Indians,Chennai Super Kings,Chepauk Stadium,182,9,20,Win,Bumrah,2023-05-16
47,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,191,8,20,Loss,Jadeja,2023-05-17
48,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,160,4,20,Loss,Rohit Sharma,2023-05-18
49,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,165,9,20,Loss,Rohit Sharma,2023-05-19
50,Chennai Super Kings,Mumbai Indians,Chepauk Stadium,185,3,20,Loss,Rohit Sharma,2023-05-20
51,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,124,7,20,Win,Rohit Sharma,2023-05-21
52,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,218,5,20,Loss,MS Dhoni,2023-05-22
